original,adversarial_light,adversarial_medium,adversarial_heavy,target
"Lol, oh you got a friend for the dog ?","Lol, oh you got a friend for the dog ?","Lol, oh you got a friend for the dog ?","Lol, oh you got a friend for the dog ?",ham
"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your""","\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your""","\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your""","\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your""",ham
By monday next week. Give me the full gist,By monday next week. Give me the full gist,By monday next week. Give me the full gist,By monday next week. Give me the full gist,ham
Convey my regards to him,Convey my regards to him,Convey my regards to him,Convey my regards to him,ham
"Yeah, that's fine! It's 6 to get in, is that ok?","Yeah, that's fine! It's 6 to get in, is that ok?","Yeah, that's fine! It's 6 to get in, is that ok?","Yeah, that's fine! It's 6 to get in, is that ok?",ham
U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,ham
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham
Ok...,Ok...,Ok...,Ok...,ham
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready","I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready","I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready","I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",ham
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,Dear U'v3 been invited to XCHAT. This is our final attempt to contact u! Txt CH@T to 86688,Dear U've been invited to XCH@T. This 1$ our final attempt to contact u! Txt CHAT to schedule 86688,Dear U've been not 💼 e1.n.v.1.t.3. 🔥 dt0 XCHAT. Tihs onte 1$ our final attepmt to contact u! Ttx CHAT to 86688 srtategy,spam
Hey... Very inconvenient for your sis a not huh?,Hey... Very inconvenient for your sis a not huh?,Hey... Very inconvenient for your sis a not huh?,Hey... Very inconvenient for your sis a not huh?,ham
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,ham
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,U h@v3 a secret admirer. REVEAL who thinks system U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,U h@V3 a secret admirer. REVEAL wh0 thinks U R So details special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. schedule Cust care 07821230901,U hav e@ $3c3rt 🚀 admire.r R.3.V.3.@.1 wh0 thinks team U R 💼 $0. $.P.3c...@.11.. Call 09065174042. 📈 To otpo ut Reply R3V3@1 📈 TSO.P 1.05a nalysisp 🎯 er smg recd. scehdule ✅ Cust c@r3 07821320901s 💼 ystem,spam
Is she replying. Has boye changed his phone number,Is she replying. Has boye changed his phone number,Is she replying. Has boye changed his phone number,Is she replying. Has boye changed his phone number,ham
Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,ham
When can _ come out?,When can _ come out?,When can _ come out?,When can _ come out?,ham
Jay is snickering and tells me that x is totally fucking up the chords as we speak,Jay is snickering and tells me that x is totally fucking up the chords as we speak,Jay is snickering and tells me that x is totally fucking up the chords as we speak,Jay is snickering and tells me that x is totally fucking up the chords as we speak,ham
Shall i get my pouch?,Shall i get my pouch?,Shall i get my pouch?,Shall i get my pouch?,ham
It shall be fine. I have avalarr now. Will hollalater,It shall be fine. I have avalarr now. Will hollalater,It shall be fine. I have avalarr now. Will hollalater,It shall be fine. I have avalarr now. Will hollalater,ham
Yunny... I'm goin to be late,Yunny... I'm goin to be late,Yunny... I'm goin to be late,Yunny... I'm goin to be late,ham
Yo do you know anyone &lt;#&gt; or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,Yo do you know anyone &lt;#&gt; or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,Yo do you know anyone &lt;#&gt; or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,Yo do you know anyone &lt;#&gt; or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,ham
Gudnite....tc...practice going on,Gudnite....tc...practice going on,Gudnite....tc...practice going on,Gudnite....tc...practice going on,ham
Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,ham
U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,U have won review a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 n0w. schedule POBOX114/14TCR/W1 16,U have won a nokia status 6230 meeting plus a system free digital discussion camera. This 1$ what u get when u win our FREE auction. To take business part send NOKIA t0 review 83383 now. POBOX114/14TCR/W1 16 update,"U h@v3 own 💰 @ n.0.k.1. @2630 lpus a fr3 3d1g1@t1 c@m3r@. This 🎯 is w.h.@.t u discusiso nget whneu win infomration 0.u.r FREE auction. dtaa Tot ak epart send 💼 repor 🎯 NtOIKA to 83383 now. P.0.b.0.X.1.1.4./.1.4..tCR../.w.1 💰 16

Automated Email - Do Not Reply",spam
IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,ham
Gud ni8.swt drms.take care,Gud ni8.swt drms.take care,Gud ni8.swt drms.take care,Gud ni8.swt drms.take care,ham
PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 team Expires 07/11/04,PRIVATE! Your 2003 Account Statement for 07808 X.X.X.X.X.X shows update 800 un-redeemed $. I. M. points. Call 08719899217 1d3nt1f13r Code: 41685 Expires 07/11/04,"P.R.1.V.@.T.3.! Your 2030 Account taSetment sttuas f0r 07880 X.X.x.x.x.x sohws erport 8.0. 0nu-redeemed S.I . M.. p01nt$. Call 08719899217 dIentifier cline Ctode: idscussion 41685m eetin gExpiesr 70/11/04

Sent from my iPhone",spam
"How about clothes, jewelry, and trips?","How about clothes, jewelry, and trips?","How about clothes, jewelry, and trips?","How about clothes, jewelry, and trips?",ham
K do I need a login or anything,K do I need a login or anything,K do I need a login or anything,K do I need a login or anything,ham
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Had your mobile business 11mths ? Update meeting for FREE to Oranges latest colour c@m3r@ mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Had your mobile 11mths ? Update for FREE to analysis Oranges 1@t3$T information c010ur camera mobiles & unlimited weekend calls. business Call M0b113 Upd8 0.N fr33f0n3 08000839402 or 2StopTxt,"Had yoru mboile pudaet 11mt$h ? pUdat fer0 FREE t0 reveiw0 @rng3$ infromatino latest C010Ur camera m.0..b.1.13.$ & ulniimted aanlyss iweeekd cn@11.$ Call Mobile pUd 8prjoect on freefone 80000839402 💼 or $t0p2Txt

Best regards,
Your Team",spam
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!","Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!","Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!","Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",ham
"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished","I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished","I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished","I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",ham
Genius what's up. How your brother. Pls send his number to my skype.,Genius what's up. How your brother. Pls send his number to my skype.,Genius what's up. How your brother. Pls send his number to my skype.,Genius what's up. How your brother. Pls send his number to my skype.,ham
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop","Sunshine Hols. To claim ur team med h011d@y send a stamped self address details envelope to Drinks 0n Us UK, P.0 Box 113, Bray, Wicklow, Eire. Qu1z Starts Saturday! Unsub Stop","Sunshine Hols. strategy T0 claim ur med information holiday send a stamped analysis self @DDR3$$ envelope to Drinks on Us UK, P0 Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop","Susnhnie H.01..$.. To .c1.@.1m. 🔥 details urm .3.d holiday send @ $t@mpd3 slef emetnig address puadte envelop et oDrikns on U. $Uk, 🔥 P OBox 131, schedule Bray, W1ck10w, review 313r. Q.u1..zS tatrs aStruday! Unsub $t0p

Click here to unsubscribe",spam
"Ok omw now, you at castor?","Ok omw now, you at castor?","Ok omw now, you at castor?","Ok omw now, you at castor?",ham
Have you bookedthe hut? And also your time off? How are you by the way?,Have you bookedthe hut? And also your time off? How are you by the way?,Have you bookedthe hut? And also your time off? How are you by the way?,Have you bookedthe hut? And also your time off? How are you by the way?,ham
My drive can only be read. I need to write,My drive can only be read. I need to write,My drive can only be read. I need to write,My drive can only be read. I need to write,ham
But pls dont play in others life.,But pls dont play in others life.,But pls dont play in others life.,But pls dont play in others life.,ham
I am on the way to tirupur.,I am on the way to tirupur.,I am on the way to tirupur.,I am on the way to tirupur.,ham
So what about you. What do you remember,So what about you. What do you remember,So what about you. What do you remember,So what about you. What do you remember,ham
"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning","Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning","Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning","Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",ham
Then we gotta do it after that,Then we gotta do it after that,Then we gotta do it after that,Then we gotta do it after that,ham
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,You will analysis recieve your t.0.n.3 W1th1n the next 24hrs. For Terms client and conditions please see Channel U Teletext Pg 750,You will recieve y.0.u.r tone within the next 24hrs. report For Terms and conditions please see Ch@nn31 U Teletext Pg 750,"You willr ecieevy uor otnewi thin th en3xt 2h4rs. busines sFor T3rM$ and conditionsd iscussionp laese$ 33C hannel U Teeltext Pg team 7.5.0

Automated Email - Do Not Reply",spam
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,ham
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of2000 CASH 18+only. To opt out txt X to 07786200117,UR information GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of2000 CASH 18+only. T0 0pt out txt X to 07786200117,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 @ND speak to a note live operator to claim either Bahamas cruise of2000 CASH 18+only. T.0 opt out txt X to 07786200117,"Ur GOING 📈 2 BAHAMAS !C.@.1.1.F..R.33.F.0.N.3 08085160656 discussino @dnsp eak 🔥 to a live operator to claim eithe rBahamas crU1$3 rveeiw of2000 C@$H 18+olny. To 0pt out txt meeting X strategyt .0 70786200117

Automated Email - Do Not Reply",spam
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Fr33 3ntry in 2 a weekly report comp for a ch@nc3 to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details analysis 18+,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 t0 get 3ntry (std txt rate) t&c'$ apply 08452810073 for details 18+ review,Fre meeeting3 ntry 1n ✅ 2 a weekly 🔥 cmp0 for projec ta 🎯 hc@nc3 t.0 wins cheduel @nipo d. Txt POD t 80o182 ot 🚀 get enrty information (std 📈 txt rate)T &C'sa ppyl 💰 04852810037 ford etaisl revie w18+,spam
Hi dis is yijue i would be happy to work wif _ all for gek1510...,Hi dis is yijue i would be happy to work wif _ all for gek1510...,Hi dis is yijue i would be happy to work wif _ all for gek1510...,Hi dis is yijue i would be happy to work wif _ all for gek1510...,ham
Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name &lt;#&gt; janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra &lt;#&gt; % true.. Don't neglet.,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name &lt;#&gt; janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra &lt;#&gt; % true.. Don't neglet.,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name &lt;#&gt; janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra &lt;#&gt; % true.. Don't neglet.,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name &lt;#&gt; janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra &lt;#&gt; % true.. Don't neglet.,ham
I've reached home n i bathe liao... U can call me now...,I've reached home n i bathe liao... U can call me now...,I've reached home n i bathe liao... U can call me now...,I've reached home n i bathe liao... U can call me now...,ham
Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham
Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,Sexy Singles are waiting for you! Text your AGE business followed by your GENDER as w1th3r M or F E.G.23F. For g@y data m.3.n t3xt your AGE followed by a G. e.g.23G.,Sexy Singles @r3 waiting for you! Text your AGE followed by your GENDER @.$ wither M 0R F E.G.23F. F0r gay men text Y0ur AGE f0110w3d by a G. e.g.23G. status,🚀 Sexy Singles @.r.3 dtaa waiitn gfr0 yuo !eTtx your AGE followed system by your GENDREa wstiherM .0rm eeting F E.G.23F. F0r gay emnt 📈 ext ssytemy ✅ 0ur@ G3 follwoed by detail sa G. plna e.g.23G.,spam
No message..no responce..what happend?,No message..no responce..what happend?,No message..no responce..what happend?,No message..no responce..what happend?,ham
"Sir, I am waiting for your mail.","Sir, I am waiting for your mail.","Sir, I am waiting for your mail.","Sir, I am waiting for your mail.",ham
Cool. So how come you havent been wined and dined before?,Cool. So how come you havent been wined and dined before?,Cool. So how come you havent been wined and dined before?,Cool. So how come you havent been wined and dined before?,ham
Wife.how she knew the time of murder exactly,Wife.how she knew the time of murder exactly,Wife.how she knew the time of murder exactly,Wife.how she knew the time of murder exactly,ham
Jesus armand really is trying to tell everybody he can find,Jesus armand really is trying to tell everybody he can find,Jesus armand really is trying to tell everybody he can find,Jesus armand really is trying to tell everybody he can find,ham
Great comedy..cant stop laughing da:),Great comedy..cant stop laughing da:),Great comedy..cant stop laughing da:),Great comedy..cant stop laughing da:),ham
This is my number by vivek..,This is my number by vivek..,This is my number by vivek..,This is my number by vivek..,ham
The hair cream has not been shipped.,The hair cream has not been shipped.,The hair cream has not been shipped.,The hair cream has not been shipped.,ham
I not busy juz dun wan 2 go so early.. Hee..,I not busy juz dun wan 2 go so early.. Hee..,I not busy juz dun wan 2 go so early.. Hee..,I not busy juz dun wan 2 go so early.. Hee..,ham
"\Gimme a few\"" was &lt;#&gt; minutes ago""","\Gimme a few\"" was &lt;#&gt; minutes ago""","\Gimme a few\"" was &lt;#&gt; minutes ago""","\Gimme a few\"" was &lt;#&gt; minutes ago""",ham
Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,ham
Oooh I got plenty of those!,Oooh I got plenty of those!,Oooh I got plenty of those!,Oooh I got plenty of those!,ham
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE report NAME1 NAME2 MOBNO eg LOVE ADAM EVE 0.7.1.2.3.4.5.6.7.8.9 to 87077 Yahoo! POBox36504W45WQ details TxtNO 4 no ads 150p.,Send a logo 2 status ur lover - 2 names joined by @ heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,Senda 10g0 2 ur olver - 2 names ✅ j0n13d b ya h.3.@.R.T.. 💰 t.xt. 103v N@M31 ANME2 MBONO eg 💼 LVOE ADAM 3V3 07123457689 informationt 🔥 ore port8 7077 Y@h00! POBo3x6504W45WQ TxtNO 4 no @.d.$ 📈 150.p,spam
Buy one egg for me da..please:),Buy one egg for me da..please:),Buy one egg for me da..please:),Buy one egg for me da..please:),ham
No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,ham
"Yes obviously, but you are the eggs-pert and the potato head_ Speak soon!","Yes obviously, but you are the eggs-pert and the potato head_ Speak soon!","Yes obviously, but you are the eggs-pert and the potato head_ Speak soon!","Yes obviously, but you are the eggs-pert and the potato head_ Speak soon!",ham
I'll pick you up at about 5.15pm to go to taunton if you still want to come.,I'll pick you up at about 5.15pm to go to taunton if you still want to come.,I'll pick you up at about 5.15pm to go to taunton if you still want to come.,I'll pick you up at about 5.15pm to go to taunton if you still want to come.,ham
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...","Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...","Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...","Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",ham
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,Monthly client password business f.0.r wap. mobsi.com information 1$ 391784. Use your wap phone not PC.,"Motnhly passwor dstatus ✅ f.0. rw@p .mobsi.com s biusiness 931847. Use yourw@ pph0n3 n0t erport P.C

Best regards,
Your Team",spam
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only 1.50/week. SavaMob - offers mobile!","This weeks SavaMob member 0fF3r$ are now accessible. Just call 08709501522 report for details! SavaMob, POBOX 139, LA3 2WU. Only 1.50/week. SavaMob - offers mobile!","This weeks SavaMob member offers are now @.c.c.3.$.$.1.b.1.3.. Just data call 08709501522 for details! $@v@M0b, P0B0X 139, project 1@3 2WU. Only 1.50/w33k. SavaMob - 0ff3r$ mobile!","Th1$ weeks $.@..v@.M.0.b member ofefr sstrtaegy are onw noet @cc3$1b$13. Ju$t c@110 8705901522f. 0.r details!$ @v@Mb0, POBOX 319, 1@3 💰 2WU. Only schdeule 15.0/w33.k note aSvaMob details - starteyg offers mobil!e

Best regards,
Your Team",spam
But that's on ebay it might be less elsewhere.,But that's on ebay it might be less elsewhere.,But that's on ebay it might be less elsewhere.,But that's on ebay it might be less elsewhere.,ham
I want to be there so i can kiss you and feel you next to me,I want to be there so i can kiss you and feel you next to me,I want to be there so i can kiss you and feel you next to me,I want to be there so i can kiss you and feel you next to me,ham
